building_source_id,building_id,source_key,relationship
CHI-CHI1840-006-S01,CHI-CHI1840-006,AND1884V1,supports_record
CHI-CHI1840-007-S01,CHI-CHI1840-007,AND1884V1,supports_record
CHI-CHI1840-008-S01,CHI-CHI1840-008,AND1884V1,supports_record
CHI-CHI1840-009-S01,CHI-CHI1840-009,AND1884V1,supports_record
CHI-CHI1840-010-S01,CHI-CHI1840-010,AND1884V1,supports_record
CHI-CHI1840-011-S01,CHI-CHI1840-011,AND1884V1,supports_record
CHI-CHI1840-012-S01,CHI-CHI1840-012,AND1884V1,supports_record
CHI-CHI1840-013-S01,CHI-CHI1840-013,AND1884V1,supports_record
CHI-CHI1840-014-S01,CHI-CHI1840-014,AND1884V1,supports_record
CHI-CHI1840-015-S01,CHI-CHI1840-015,AND1884V1,supports_record
CHI-CHI1840-016-S01,CHI-CHI1840-016,AND1884V1,supports_record
CHI-CHI1840-017-S01,CHI-CHI1840-017,AND1884V1,supports_record
CHI-CHI1840-018-S01,CHI-CHI1840-018,AND1884V1,supports_record
CHI-CHI1840-019-S01,CHI-CHI1840-019,CHICAGOLOGY1844,supports_record
CHI-CHI1840-020-S01,CHI-CHI1840-020,CHICAGOLOGY1844,supports_record
CHI-CHI1840-021-S01,CHI-CHI1840-021,CHICAGOLOGY1844,supports_record
CHI-CHI1840-022-S01,CHI-CHI1840-022,CHICAGOLOGY1844,supports_record
CHI-CHI1840-023-S01,CHI-CHI1840-023,AND1884V1,supports_record
CHI-CHI1840-023-S02,CHI-CHI1840-023,NOR1846,supports_record
CHI-CHI1840-024-S01,CHI-CHI1840-024,AND1884V1,supports_record
CHI-CHI1840-025-S01,CHI-CHI1840-025,AND1884V1,supports_record
CHI-CHI1840-026-S01,CHI-CHI1840-026,AND1884V1,supports_record
CHI-CHI1840-027-S01,CHI-CHI1840-027,AND1884V1,supports_record
CHI-CHI1840-027-S02,CHI-CHI1840-027,NOR1846,supports_record
CHI-CHI1840-028-S01,CHI-CHI1840-028,AND1884V1,supports_record
CHI-CHI1840-028-S02,CHI-CHI1840-028,NOR1846,supports_record
CHI-CHI1840-029-S01,CHI-CHI1840-029,AND1884V1,supports_record
CHI-CHI1840-030-S01,CHI-CHI1840-030,AND1884V1,supports_record
CHI-CHI1840-030-S02,CHI-CHI1840-030,NOR1846,supports_record
CHI-CHI1840-031-S01,CHI-CHI1840-031,AND1884V1,supports_record
CHI-CHI1840-032-S01,CHI-CHI1840-032,AND1884V1,supports_record
CHI-CHI1840-033-S01,CHI-CHI1840-033,AND1884V1,supports_record
CHI-CHI1840-034-S01,CHI-CHI1840-034,AND1884V1,supports_record
CHI-CHI1840-035-S01,CHI-CHI1840-035,AND1884V1,supports_record
CHI-CHI1840-036-S01,CHI-CHI1840-036,AND1884V1,supports_record
CHI-CHI1840-037-S01,CHI-CHI1840-037,AND1884V1,supports_record
CHI-CHI1840-038-S01,CHI-CHI1840-038,AND1884V1,supports_record
CHI-CHI1840-039-S01,CHI-CHI1840-039,AND1884V1,supports_record
CHI-CHI1840-040-S01,CHI-CHI1840-040,AND1884V1,supports_record
CHI-CHI1840-041-S01,CHI-CHI1840-041,AND1884V1,supports_record
CHI-CHI1840-042-S01,CHI-CHI1840-042,CHICAGOLOGY1844,supports_record
CHI-CHI1840-043-S01,CHI-CHI1840-043,AND1884V1,supports_record
CHI-CHI1840-044-S01,CHI-CHI1840-044,AND1884V1,supports_record
CHI-CHI1840-044-S02,CHI-CHI1840-044,ECH1849MAP,supports_record
CHI-CHI1840-045-S01,CHI-CHI1840-045,AND1884V1,supports_record
CHI-CHI1840-046-S01,CHI-CHI1840-046,AND1884V1,supports_record
CHI-CHI1840-047-S01,CHI-CHI1840-047,AND1884V1,supports_record
CHI-CHI1840-048-S01,CHI-CHI1840-048,AND1884V1,supports_record
CHI-CHI1840-049-S01,CHI-CHI1840-049,AND1884V1,supports_record
CHI-CHI1840-050-S01,CHI-CHI1840-050,AND1884V1,supports_record
CHI-CHI1840-051-S01,CHI-CHI1840-051,AND1884V1,supports_record
CHI-CHI1840-052-S01,CHI-CHI1840-052,AND1884V1,supports_record
CHI-CHI1840-053-S01,CHI-CHI1840-053,AND1884V1,supports_record
CHI-CHI1840-054-S01,CHI-CHI1840-054,AND1884V1,supports_record
CHI-CHI1840-055-S01,CHI-CHI1840-055,AND1884V1,supports_record
CHI-CHI1840-056-S01,CHI-CHI1840-056,AND1884V1,supports_record
CHI-CHI1840-057-S01,CHI-CHI1840-057,AND1884V1,supports_record
CHI-CHI1840-058-S01,CHI-CHI1840-058,AND1884V1,supports_record
CHI-CHI1840-059-S01,CHI-CHI1840-059,AND1884V1,supports_record
CHI-CHI1840-060-S01,CHI-CHI1840-060,AND1884V1,supports_record
CHI-CHI1850-001-S01,CHI-CHI1850-001,ANDREAS_V1,supports_record
CHI-CHI1850-001-S02,CHI-CHI1850-001,ENCYC_GAS,supports_record
CHI-CHI1850-002-S01,CHI-CHI1850-002,ANDREAS_V2,supports_record
CHI-CHI1850-003-S01,CHI-CHI1850-003,ANDREAS_V2,supports_record
CHI-CHI1850-003-S02,CHI-CHI1850-003,CHICAGOLOGY_MATTESON,supports_record
CHI-CHI1850-004-S01,CHI-CHI1850-004,ANDREAS_V1,supports_record
CHI-CHI1850-005-S01,CHI-CHI1850-005,ANDREAS_V1,supports_record
CHI-CHI1850-006-S01,CHI-CHI1850-006,ANDREAS_V1,supports_record
CHI-CHI1850-007-S01,CHI-CHI1850-007,ANDREAS_V1,supports_record
CHI-CHI1850-008-S01,CHI-CHI1850-008,ANDREAS_V1,supports_record
CHI-CHI1850-009-S01,CHI-CHI1850-009,ANDREAS_V1,supports_record
CHI-CHI1850-010-S01,CHI-CHI1850-010,ANDREAS_V1,supports_record
CHI-CHI1850-011-S01,CHI-CHI1850-011,ANDREAS_V1,supports_record
CHI-CHI1850-012-S01,CHI-CHI1850-012,ANDREAS_V1,supports_record
CHI-CHI1850-013-S01,CHI-CHI1850-013,ANDREAS_V1,supports_record
CHI-CHI1850-014-S01,CHI-CHI1850-014,ANDREAS_V2,supports_record
CHI-CHI1850-015-S01,CHI-CHI1850-015,ANDREAS_V2,supports_record
CHI-CHI1850-016-S01,CHI-CHI1850-016,ANDREAS_V1,supports_record
CHI-CHI1850-017-S01,CHI-CHI1850-017,ANDREAS_V1,supports_record
CHI-CHI1850-018-S01,CHI-CHI1850-018,ANDREAS_V1,supports_record
CHI-CHI1850-019-S01,CHI-CHI1850-019,ANDREAS_V1,supports_record
CHI-CHI1850-020-S01,CHI-CHI1850-020,ANDREAS_V1,supports_record
CHI-CHI1850-021-S01,CHI-CHI1850-021,ANDREAS_V1,supports_record
CHI-CHI1850-022-S01,CHI-CHI1850-022,ANDREAS_V1,supports_record
CHI-CHI1850-023-S01,CHI-CHI1850-023,CITY_WINGERT,supports_record
CHI-CHI1850-023-S02,CHI-CHI1850-023,CITY_PREFIRE,supports_record
CHI-CHI1850-024-S01,CHI-CHI1850-024,ANDREAS_V1,supports_record
CHI-CHI1850-025-S01,CHI-CHI1850-025,CHICAGOLOGY_METRO,supports_record
CHI-CHI1850-026-S01,CHI-CHI1850-026,ANDREAS_V2,supports_record
CHI-CHI1850-027-S01,CHI-CHI1850-027,ANDREAS_V1,supports_record
CHI-CHI1850-027-S02,CHI-CHI1850-027,ANDREAS_V2,supports_record
CHI-CHI1850-028-S01,CHI-CHI1850-028,ANDREAS_V1,supports_record
CHI-CHI1850-028-S02,CHI-CHI1850-028,ANDREAS_V2,supports_record
CHI-CHI1850-029-S01,CHI-CHI1850-029,ANDREAS_V2,supports_record
CHI-CHI1850-030-S01,CHI-CHI1850-030,ANDREAS_V1,supports_record
CHI-CHI1850-031-S01,CHI-CHI1850-031,ANDREAS_V1,supports_record
