newspaper,date,volume,issue_number,source_pdf_pages,source_pages,column_sections,word_count,uncertainty_markers,txt_file,docx_file,docx_pages
Chicago Democrat,1833-11-26,I,1,1-4,4,25,22145,1317,Chicago_Democrat_1833-11-26_Vol1_No1_Transcription.txt,Chicago_Democrat_1833-11-26_Vol1_No1_Transcription.docx,41
Chicago Democrat,1833-12-03,I,2,5-8,4,24,21873,1278,Chicago_Democrat_1833-12-03_Vol1_No2_Transcription.txt,Chicago_Democrat_1833-12-03_Vol1_No2_Transcription.docx,44
Chicago Democrat,1833-12-10,I,3,9-12,4,24,23432,275,Chicago_Democrat_1833-12-10_Vol1_No3_Transcription.txt,Chicago_Democrat_1833-12-10_Vol1_No3_Transcription.docx,55
Chicago Democrat,1833-12-17,I,4,13-16,4,24,23341,299,Chicago_Democrat_1833-12-17_Vol1_No4_Transcription.txt,Chicago_Democrat_1833-12-17_Vol1_No4_Transcription.docx,54
Chicago Democrat,1833-12-24,I,5,17-20,4,24,21130,5,Chicago_Democrat_1833-12-24_Vol1_No5_Transcription.txt,Chicago_Democrat_1833-12-24_Vol1_No5_Transcription.docx,46
