source_id,local_path,title,creator,date,provider,internet_archive_item,internet_archive_url,redistribution_status,copyright_status,notes
andreas-history,chicago/reference/andreas-history-of-chicago/Andreas-History_of_Chicago.pdf,History of Chicago,Alfred Theodore Andreas,1884,Internet Archive,chicago1835-andreas-history-of-chicago,https://archive.org/details/chicago1835-andreas-history-of-chicago,public,public-domain,Google Books digitization
fergus-series,chicago/reference/fergus/fergushistorical2629unse.pdf,Fergus Historical Series,Robert Fergus,,Internet Archive,chicago1835-fergus-historical-series,https://archive.org/details/chicago1835-fergus-historical-series,public,public-domain,Includes OCR pageindex.json and searchtext committed to git alongside
story-of-chicago,chicago/reference/story-of-chicago/4586954.pdf,The Story of Chicago,Joseph Kirkland,1892,Internet Archive,chicago1835-story-of-chicago-kirkland,https://archive.org/details/chicago1835-story-of-chicago-kirkland,public,public-domain,Scanned from Missouri Valley Special Collections Kansas City Public Library
newberry-genealogical,chicago/reference/newberry-genealogical/,"The Genealogical Index of the Newberry Library, Chicago (Vols. 1-4)",Newberry Library,,Internet Archive,chicago1835-newberry-genealogical-index,https://archive.org/details/chicago1835-newberry-genealogical-index,public,public-domain,4 volumes
project-walkthroughs,chicago/reference/walkthroughs/,Chicago 1835 Reconstruction Project Walkthroughs,Kevin Haas,2026,Internet Archive,chicago1835-project-walkthroughs,https://archive.org/details/chicago1835-project-walkthroughs,public,project-documentation,Screen recordings not historical source material
ipums-1790-1840,chicago/reference/ipums/,IPUMS USA household extracts 1790-1840,IPUMS USA,,IPUMS,,,restricted,license-restricted,Redistribution prohibited by IPUMS terms; local-only; see ipums/README.md
ipums-nhgis-1830-county,chicago/reference/ipums/nhgis0001_shape/,NHGIS 1830 county boundary shapefile,IPUMS NHGIS,,IPUMS,,,restricted,license-restricted,Redistribution prohibited by IPUMS terms; local-only; see ipums/README.md
