building_source_id,building_id,source_key,relationship
CHI-POSTFIRE-CHI1872-045-S01,CHI-POSTFIRE-CHI1872-045,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-046-S01,CHI-POSTFIRE-CHI1872-046,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-046-S02,CHI-POSTFIRE-CHI1872-046,CHICAG_REBUILD,supports_record
CHI-POSTFIRE-CHI1872-047-S01,CHI-POSTFIRE-CHI1872-047,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-047-S02,CHI-POSTFIRE-CHI1872-047,CHICAG_REBUILD,supports_record
CHI-POSTFIRE-CHI1872-048-S01,CHI-POSTFIRE-CHI1872-048,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-048-S02,CHI-POSTFIRE-CHI1872-048,CHICAG_REBUILD,supports_record
CHI-POSTFIRE-CHI1872-049-S01,CHI-POSTFIRE-CHI1872-049,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-049-S02,CHI-POSTFIRE-CHI1872-049,CHICAG_REBUILD,supports_record
CHI-POSTFIRE-CHI1872-050-S01,CHI-POSTFIRE-CHI1872-050,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-051-S01,CHI-POSTFIRE-CHI1872-051,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-052-S01,CHI-POSTFIRE-CHI1872-052,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-053-S01,CHI-POSTFIRE-CHI1872-053,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-054-S01,CHI-POSTFIRE-CHI1872-054,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-055-S01,CHI-POSTFIRE-CHI1872-055,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-055-S02,CHI-POSTFIRE-CHI1872-055,CHICAG_REBUILD,supports_record
CHI-POSTFIRE-CHI1872-055-S03,CHI-POSTFIRE-CHI1872-055,CHM_METHODIST,supports_record
CHI-POSTFIRE-CHI1872-056-S01,CHI-POSTFIRE-CHI1872-056,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-057-S01,CHI-POSTFIRE-CHI1872-057,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-058-S01,CHI-POSTFIRE-CHI1872-058,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-059-S01,CHI-POSTFIRE-CHI1872-059,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-060-S01,CHI-POSTFIRE-CHI1872-060,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-061-S01,CHI-POSTFIRE-CHI1872-061,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-062-S01,CHI-POSTFIRE-CHI1872-062,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-063-S01,CHI-POSTFIRE-CHI1872-063,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-064-S01,CHI-POSTFIRE-CHI1872-064,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-065-S01,CHI-POSTFIRE-CHI1872-065,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-066-S01,CHI-POSTFIRE-CHI1872-066,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-067-S01,CHI-POSTFIRE-CHI1872-067,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-068-S01,CHI-POSTFIRE-CHI1872-068,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-069-S01,CHI-POSTFIRE-CHI1872-069,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-070-S01,CHI-POSTFIRE-CHI1872-070,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-071-S01,CHI-POSTFIRE-CHI1872-071,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-072-S01,CHI-POSTFIRE-CHI1872-072,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-073-S01,CHI-POSTFIRE-CHI1872-073,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-074-S01,CHI-POSTFIRE-CHI1872-074,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-075-S01,CHI-POSTFIRE-CHI1872-075,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-076-S01,CHI-POSTFIRE-CHI1872-076,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-077-S01,CHI-POSTFIRE-CHI1872-077,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-078-S01,CHI-POSTFIRE-CHI1872-078,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-079-S01,CHI-POSTFIRE-CHI1872-079,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-080-S01,CHI-POSTFIRE-CHI1872-080,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-081-S01,CHI-POSTFIRE-CHI1872-081,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-082-S01,CHI-POSTFIRE-CHI1872-082,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-083-S01,CHI-POSTFIRE-CHI1872-083,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-084-S01,CHI-POSTFIRE-CHI1872-084,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-085-S01,CHI-POSTFIRE-CHI1872-085,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-086-S01,CHI-POSTFIRE-CHI1872-086,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-087-S01,CHI-POSTFIRE-CHI1872-087,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-088-S01,CHI-POSTFIRE-CHI1872-088,AND1886V3,supports_record
CHI-POSTFIRE-CHI1872-089-S01,CHI-POSTFIRE-CHI1872-089,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-001-S01,CHI-POSTFIRE-CHI1873-001,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-001-S02,CHI-POSTFIRE-CHI1873-001,CHAMBERLIN1874,supports_record
CHI-POSTFIRE-CHI1873-001-S03,CHI-POSTFIRE-CHI1873-001,CHICAGOLOGY_REAPER,supports_record
CHI-POSTFIRE-CHI1873-002-S01,CHI-POSTFIRE-CHI1873-002,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-002-S02,CHI-POSTFIRE-CHI1873-002,CHICAGOLAKESIDE,supports_record
CHI-POSTFIRE-CHI1873-003-S01,CHI-POSTFIRE-CHI1873-003,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-003-S02,CHI-POSTFIRE-CHI1873-003,CHAMBERLIN1874,supports_record
CHI-POSTFIRE-CHI1873-003-S03,CHI-POSTFIRE-CHI1873-003,CHICAGOLOGY_TIMES,supports_record
CHI-POSTFIRE-CHI1873-004-S01,CHI-POSTFIRE-CHI1873-004,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-005-S01,CHI-POSTFIRE-CHI1873-005,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-006-S01,CHI-POSTFIRE-CHI1873-006,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-007-S01,CHI-POSTFIRE-CHI1873-007,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-008-S01,CHI-POSTFIRE-CHI1873-008,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-009-S01,CHI-POSTFIRE-CHI1873-009,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-010-S01,CHI-POSTFIRE-CHI1873-010,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-011-S01,CHI-POSTFIRE-CHI1873-011,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-012-S01,CHI-POSTFIRE-CHI1873-012,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-013-S01,CHI-POSTFIRE-CHI1873-013,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-014-S01,CHI-POSTFIRE-CHI1873-014,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-015-S01,CHI-POSTFIRE-CHI1873-015,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-016-S01,CHI-POSTFIRE-CHI1873-016,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-017-S01,CHI-POSTFIRE-CHI1873-017,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-018-S01,CHI-POSTFIRE-CHI1873-018,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-019-S01,CHI-POSTFIRE-CHI1873-019,LOC1873EXPO,supports_record
CHI-POSTFIRE-CHI1873-019-S02,CHI-POSTFIRE-CHI1873-019,AICEXPO,supports_record
CHI-POSTFIRE-CHI1873-020-S01,CHI-POSTFIRE-CHI1873-020,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-021-S01,CHI-POSTFIRE-CHI1873-021,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-022-S01,CHI-POSTFIRE-CHI1873-022,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-023-S01,CHI-POSTFIRE-CHI1873-023,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-024-S01,CHI-POSTFIRE-CHI1873-024,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-025-S01,CHI-POSTFIRE-CHI1873-025,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-026-S01,CHI-POSTFIRE-CHI1873-026,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-027-S01,CHI-POSTFIRE-CHI1873-027,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-028-S01,CHI-POSTFIRE-CHI1873-028,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-029-S01,CHI-POSTFIRE-CHI1873-029,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-030-S01,CHI-POSTFIRE-CHI1873-030,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-031-S01,CHI-POSTFIRE-CHI1873-031,AND1886V3,supports_record
CHI-POSTFIRE-CHI1873-032-S01,CHI-POSTFIRE-CHI1873-032,CPLHIST,supports_record
